date,home,away,pred_xg,pred_score,p_H,p_D,p_A,actual,result,pred_result,hit,p_actual,tot_pred,tot_act
2026-06-28,South Africa,Canada,0.8-1.0,0-0,0.277,0.336,0.388,0-1,A,A,True,0.388,1.72,1
2026-06-29,Netherlands,Morocco,1.2-1.1,1-1,0.379,0.278,0.343,1-1,D,H,False,0.278,2.36,2
2026-06-29,Germany,Paraguay,1.6-1.0,1-0,0.513,0.248,0.239,1-1,D,H,False,0.248,2.63,2
2026-06-29,Brazil,Japan,1.5-1.1,1-1,0.473,0.259,0.268,2-1,H,H,True,0.473,2.54,3
2026-06-30,Ivory Coast,Norway,1.3-1.1,1-1,0.407,0.277,0.316,1-2,A,H,False,0.316,2.35,3
2026-06-30,France,Sweden,2.3-0.8,2-0,0.69,0.181,0.128,3-0,H,H,True,0.69,3.1199999999999997,3
2026-06-30,Mexico,Ecuador,0.9-0.9,0-0,0.341,0.332,0.327,2-0,H,H,True,0.341,1.77,2
2026-07-01,England,Congo DR,1.6-0.8,1-0,0.551,0.253,0.196,2-1,H,H,True,0.551,2.38,3
2026-07-01,Belgium,Senegal,1.6-1.0,1-0,0.512,0.249,0.239,3-2,H,H,True,0.512,2.59,5
2026-07-01,United States,Bosnia-Herzegovina,2.1-1.1,2-1,0.602,0.205,0.193,2-0,H,H,True,0.602,3.18,2
2026-07-02,Spain,Austria,1.5-1.1,1-1,0.455,0.261,0.285,3-0,H,H,True,0.455,2.54,3
2026-07-02,Portugal,Croatia,1.3-0.9,1-0,0.456,0.286,0.258,2-1,H,H,True,0.456,2.16,3
2026-07-02,Switzerland,Algeria,1.3-1.3,1-1,0.376,0.261,0.362,2-0,H,H,True,0.376,2.6100000000000003,2
2026-07-03,Colombia,Ghana,2.0-0.7,1-0,0.673,0.202,0.125,1-0,H,H,True,0.673,2.7,1
2026-07-03,Argentina,Cape Verde,2.0-0.5,1-0,0.71,0.195,0.095,3-2,H,H,True,0.71,2.55,5
2026-07-03,Australia,Egypt,1.1-0.8,1-0,0.395,0.315,0.29,1-1,D,H,False,0.315,1.9,2
2026-07-04,Canada,Morocco,1.0-1.1,0-1,0.324,0.302,0.374,0-3,A,A,True,0.374,2.06,3
2026-07-04,Paraguay,France,0.7-1.5,0-1,0.163,0.257,0.58,0-1,A,A,True,0.58,2.2,1
2026-07-05,Brazil,Norway,2.1-1.1,1-1,0.594,0.209,0.197,1-2,A,H,False,0.197,3.13,3
2026-07-05,Mexico,England,1.3-1.5,1-1,0.332,0.247,0.421,2-3,A,A,True,0.421,2.84,5
2026-07-06,Portugal,Spain,1.4-1.1,1-1,0.425,0.27,0.305,0-1,A,H,False,0.305,2.4400000000000004,1
2026-07-06,United States,Belgium,1.2-1.8,1-1,0.269,0.23,0.5,1-4,A,A,True,0.5,3.0300000000000002,5
2026-07-07,Argentina,Egypt,1.8-0.6,1-0,0.646,0.225,0.13,3-2,H,H,True,0.646,2.41,5
2026-07-07,Switzerland,Colombia,1.0-1.5,0-1,0.253,0.262,0.485,0-0,D,A,False,0.262,2.46,0
2026-07-09,France,Morocco,1.4-0.8,1-0,0.507,0.274,0.219,2-0,H,H,True,0.507,2.21,2
2026-07-10,Spain,Belgium,1.5-1.3,1-1,0.408,0.249,0.343,2-1,H,H,True,0.408,2.81,3
